sWL,sRC,sM,sSS,sTB,sPC,sLPP
L,42.62,01.05,07,0.00000105,0.00000083,0.016%
W,17.89,01.27,00,0.00000237,0.00000183,0.016%
L,69.26,01.19,07,0.00000187,0.00000511,0.007%
L,37.49,01.25,04,0.00000157,0.00000354,0.007%
L,11.58,01.12,07,0.00000126,0.00000228,0.007%
L,23.07,01.13,02,0.00000113,0.00000115,0.007%
L,98.05,01.05,07,0.00000105,0.00000015,0.007%
W,02.39,01.27,00,0.00000227,0.00000085,0.007%
L,33.03,01.19,07,0.00000179,0.00000580,0.000%
L,27.75,01.25,04,0.00000151,0.00000429,0.000%
L,13.52,01.12,07,0.00000121,0.00000308,0.000%
L,37.96,01.08,02,0.00000108,0.00000200,0.000%
L,57.10,02.03,07,0.00000203,0.00000100,0.000%
L,95.79,01.12,07,0.00000126,0.00000353,0.059%
L,75.58,01.13,02,0.00000113,0.00000466,0.059%
L,15.70,01.05,07,0.00000105,0.00000566,0.059%
W,09.67,01.14,00,0.00000172,0.00000666,0.059%
L,29.65,01.25,04,0.00000151,0.00000429,0.000%
L,72.77,01.12,07,0.00000121,0.00000308,0.000%
L,29.84,01.08,02,0.00000108,0.00000200,0.000%
L,85.20,02.03,07,0.00000203,0.00000100,0.000%
L,77.58,01.05,07,0.00000105,0.00002001,0.186%
W,02.47,01.04,00,0.00000104,0.00002101,0.186%
W,29.25,01.52,00,0.00001825,0.00000274,0.029%
L,42.86,01.44,07,0.00001198,0.00002564,0.029%
L,40.97,01.28,07,0.00000833,0.00001731,0.029%
L,43.43,01.73,08,0.00000649,0.00001082,0.029%
L,69.43,01.50,07,0.00000375,0.00000707,0.029%
L,34.83,01.33,07,0.00000249,0.00000458,0.029%
L,81.18,01.19,07,0.00000187,0.00000271,0.029%
L,34.94,01.25,04,0.00000157,0.00000114,0.029%
L,24.10,01.12,07,0.00000126,0.00000012,0.029%
L,65.98,01.13,02,0.00000113,0.00000125,0.029%
L,36.49,01.05,07,0.00000105,0.00000225,0.029%
W,13.70,01.21,00,0.00000152,0.00000325,0.029%
L,99.59,01.12,07,0.00000126,0.00000283,0.009%
L,69.27,01.13,02,0.00000113,0.00000170,0.009%
L,61.47,01.05,07,0.00000105,0.00000070,0.009%
W,64.79,04.12,00,0.00000412,0.00000030,0.009%
L,54.15,01.05,07,0.00000105,0.00000002,0.009%
W,17.23,02.02,00,0.00000202,0.00000098,0.009%
L,34.07,01.25,04,0.00000157,0.00001297,0.165%
L,51.27,01.12,07,0.00000126,0.00001171,0.165%
L,60.55,01.13,02,0.00000113,0.00001058,0.165%
L,82.91,01.05,07,0.00000105,0.00000958,0.165%
W,03.26,01.09,00,0.00000115,0.00000858,0.165%
L,12.95,01.06,02,0.00000106,0.00002064,0.165%
L,44.84,01.05,00,0.00000105,0.00001964,0.165%
W,08.78,02.20,00,0.00008406,0.00001864,0.165%
L,55.99,01.95,07,0.00003821,0.00005048,0.088%
L,91.34,01.63,05,0.00001956,0.00003092,0.088%
L,84.94,01.44,07,0.00001198,0.00001894,0.088%
L,17.10,01.28,07,0.00000833,0.00001061,0.088%
L,55.18,01.73,08,0.00000649,0.00000412,0.088%
L,62.25,01.50,07,0.00000375,0.00000037,0.088%
L,45.31,01.33,07,0.00000249,0.00000212,0.088%
L,46.30,01.19,07,0.00000187,0.00000399,0.088%
L,63.86,01.25,04,0.00000157,0.00000556,0.088%
L,16.42,01.12,07,0.00000126,0.00000682,0.088%
L,25.43,01.13,02,0.00000113,0.00000795,0.088%
L,04.97,01.05,07,0.00000105,0.00000895,0.088%
W,02.34,01.27,00,0.00000872,0.00000995,0.088%
L,14.43,01.19,07,0.00000687,0.00001557,0.009%
L,24.71,01.25,04,0.00000578,0.00000979,0.009%
L,16.21,01.12,07,0.00000463,0.00000516,0.009%
L,92.17,04.14,02,0.00000414,0.00000102,0.009%
L,13.78,01.05,07,0.00000105,0.00000002,0.009%
W,31.26,02.02,00,0.00000202,0.00000098,0.009%
L,62.25,01.12,07,0.00000118,0.00000465,0.019%
L,85.12,01.06,02,0.00000106,0.00000359,0.019%
L,49.06,01.05,00,0.00000105,0.00000259,0.019%
W,12.87,01.43,00,0.00000357,0.00000159,0.019%
L,77.42,01.33,07,0.00000249,0.00000731,0.019%
L,56.07,01.19,07,0.00000187,0.00000544,0.019%
